BAND,ACEOF0,ACEOF1,ACEOF2,ACEOF3,ACEOF4,AW_LEE,ES,XINIT,YINIT,ZINIT
400,1.6451,-0.9809,0.4638,1.235,-1.6084,0.0032,0.85968,0.0143,0.0004,0.0679
410,1,0,0,0,0,0.003131,0.9168,0.0435,0.0012,0.2074
420,0.5366,0.564,-0.176,0.0589,0.0461,0.003196,0.93531,0.1344,0.004,0.6456
430,0.3438,0.5289,0.2006,0.0367,0.0003,0.003587,0.83411,0.2839,0.0116,1.3856
440,0,1,0,0,0,0.004366,1.0143,0.3483,0.023,1.7471
450,0.0431,0.5941,0.5499,-0.1254,-0.1379,0.006803,1.1597,0.3362,0.038,1.7721
460,-0.0176,0.4643,0.665,0.1723,-0.3278,0.007615,1.1693,0.2908,0.06,1.6692
470,-0.0145,0.2845,0.8362,-0.0341,-0.0655,0.008872,1.1731,0.1954,0.091,1.2876
480,0.0012,0.0846,1.0269,-0.1105,-0.0052,0.0109,1.2076,0.0956,0.139,0.813
490,0,0,1,0,0,0.0132,1.1554,0.032,0.208,0.4652
500,0.0218,-0.0861,0.8282,0.3051,-0.0439,0.0187,1.132,0.0049,0.323,0.272
510,-0.0083,-0.0109,0.414,0.6789,-0.0007,0.0302,1.1666,0.0093,0.503,0.1582
520,0.0203,-0.0651,0.2212,0.9254,-0.0562,0.0387,1.107,0.0633,0.71,0.0782
530,0,0,0,1,0,0.0418,1.1588,0.1655,0.862,0.0422
540,-0.0092,0.0299,-0.0596,0.5319,0.5119,0.047,1.1318,0.2904,0.954,0.0203
550,0,0,0,0,1,0.0562,1.1313,0.4334,0.995,0.0087
560,0.0304,-0.0676,0.0438,-0.3632,1.3508,0.0619,1.1184,0.5945,0.995,0.0039
570,0.0051,-0.0097,-0.0143,-0.1324,0.9737,0.0695,1.1124,0.7621,0.952,0.0021
580,-0.0187,0.0326,-0.1143,0.0849,0.7885,0.0896,1.1248,0.9163,0.87,0.0017
590,-0.0366,0.0696,-0.1511,0.206,0.6006,0.1351,1.0207,1.0263,0.757,0.0011
600,-0.0326,0.0624,-0.1628,0.1901,0.5946,0.2224,1.0646,1.0622,0.631,0.0008
610,-0.0926,0.2187,-0.3501,0.4137,0.3814,0.2644,1.0732,1.0026,0.503,0.0003
620,-0.2064,0.5258,-0.781,0.6058,0.466,0.2755,1.0709,0.8544,0.381,0.0002
630,-0.1904,0.4832,-0.6237,0.4509,0.3611,0.2916,1.0309,0.6424,0.265,0.0001
640,-0.2057,0.548,-0.749,0.5009,0.3621,0.3108,1.0374,0.4479,0.175,0
650,-0.2434,0.6824,-0.9677,0.4769,0.5066,0.34,0.98062,0.2835,0.107,0
660,-0.039,0.1072,-0.4332,0.5823,0.484,0.41,1.0001,0.1649,0.061,0
670,-0.6708,1.759,-2.06,0.8171,0.7173,0.439,0.99445,0.0874,0.032,0
680,-0.5688,1.4889,-1.8248,1.4044,-0.1358,0.465,0.97662,0.0467,0.017,0
690,-0.1554,0.4799,-0.9513,0.5347,0.6663,0.516,0.83443,0.0227,0.0082,0
700,-0.0213,0.102,-0.3731,0.2195,0.4362,0.624,0.86342,0.0114,0.0041,0